time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,breakdown_topic,breakdown,child_count,child_percent,rate_per_100
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Difficulty accessing suitable school place,40,1,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,School dissatisfaction general,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,School dissatisfaction SEND,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Mental health,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Physical health,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Parental decision not to register at school,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Did not apply for school place at compulsory school age,50,1,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Challenging school attendance order,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Believed to have moved to another local authority,280,6,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Believed to have moved to another country,160,4,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Unknown,110,3,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Not recorded,380,9,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Other,1120,25,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Total,Total,5970,100,0.8000000
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Sex,Female,2670,45,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Sex,Male,3050,51,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Sex,Unknown,260,4,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Reception,90,1,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 1,250,4,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 2,340,6,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 3,380,6,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 4,450,8,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 5,490,8,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 6,550,9,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 7,650,11,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 8,700,12,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 9,790,13,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 10,750,13,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Year 11,530,9,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Year group,Unknown,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,Less than 2 weeks,440,7,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,2 to 4 weeks,600,10,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,4 to 8 weeks,280,5,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,8 to 12 weeks,290,5,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,12 to 26 weeks,600,10,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,26 to 52 weeks,670,11,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,Over 52 weeks,2830,47,x
202526,Autumn term,Regional,E92000001,England,E12000004,East Midlands,,,,Duration,Unknown,270,4,x
